UPS Next Day Air®,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,,,,,,,,

Weight Not To Exceed, Zone 102 , Zone 103 , Zone 104 , Zone 105 , Zone 106 , Zone 107 , Zone 108 , Zone 124 , Zone 125 , Zone 126

Letter,$13.40 ,$15.50 ,$16.80 ,$17.60 ,$18.40 ,$19.30 ,$19.80 ,$20.20 ,$20.20 ,$27.00 
114,$144.80 ,$197.30 ,$285.00 ,$307.80 ,$332.90 ,$347.70 ,$359.10 ,$364.80 ,$364.80 ,$376.20 
115,$146.10 ,$199.00 ,$287.50 ,$310.50 ,$335.80 ,$350.80 ,$362.30 ,$368.00 ,$368.00 ,$379.50 
116,$147.40 ,$200.70 ,$290.00 ,$313.20 ,$338.80 ,$353.80 ,$365.40 ,$371.20 ,$371.20 ,$382.80 
117,$148.60 ,$202.50 ,$292.50 ,$315.90 ,$341.70 ,$356.90 ,$368.60 ,$374.40 ,$374.40 ,$386.10 
118,$149.90 ,$204.20 ,$295.00 ,$318.60 ,$344.60 ,$359.90 ,$371.70 ,$377.60 ,$377.60 ,$389.40 
119,$151.20 ,$205.90 ,$297.50 ,$321.30 ,$347.50 ,$363.00 ,$374.90 ,$380.80 ,$380.80 ,$392.70 
120,$152.40 ,$207.60 ,$300.00 ,$324.00 ,$350.40 ,$366.00 ,$378.00 ,$384.00 ,$384.00 ,$396.00 
121,$153.70 ,$209.40 ,$302.50 ,$326.70 ,$353.40 ,$369.10 ,$381.20 ,$387.20 ,$387.20 ,$399.30 
122,$155.00 ,$211.10 ,$305.00 ,$329.40 ,$356.30 ,$372.10 ,$384.30 ,$390.40 ,$390.40 ,$402.60 
123,$156.30 ,$212.80 ,$307.50 ,$332.10 ,$359.20 ,$375.20 ,$387.50 ,$393.60 ,$393.60 ,$405.90 
124,$157.50 ,$214.60 ,$310.00 ,$334.80 ,$362.10 ,$378.20 ,$390.60 ,$396.80 ,$396.80 ,$409.20 
125,$158.80 ,$216.30 ,$312.50 ,$337.50 ,$365.00 ,$381.30 ,$393.80 ,$400.00 ,$400.00 ,$412.50 
126,$160.10 ,$218.00 ,$315.00 ,$340.20 ,$368.00 ,$384.30 ,$396.90 ,$403.20 ,$403.20 ,$415.80 
127,$161.30 ,$219.80 ,$317.50 ,$342.90 ,$370.90 ,$387.40 ,$400.10 ,$406.40 ,$406.40 ,$419.10 
128,$162.60 ,$221.50 ,$320.00 ,$345.60 ,$373.80 ,$390.40 ,$403.20 ,$409.60 ,$409.60 ,$422.40 
129,$163.90 ,$223.20 ,$322.50 ,$348.30 ,$376.70 ,$393.50 ,$406.40 ,$412.80 ,$412.80 ,$425.70 
130,$165.10 ,$224.90 ,$325.00 ,$351.00 ,$379.60 ,$396.50 ,$409.50 ,$416.00 ,$416.00 ,$429.00 
131,$166.40 ,$226.70 ,$327.50 ,$353.70 ,$382.60 ,$399.60 ,$412.70 ,$419.20 ,$419.20 ,$432.30 
132,$167.70 ,$228.40 ,$330.00 ,$356.40 ,$385.50 ,$402.60 ,$415.80 ,$422.40 ,$422.40 ,$435.60 
133,$169.00 ,$230.10 ,$332.50 ,$359.10 ,$388.40 ,$405.70 ,$419.00 ,$425.60 ,$425.60 ,$438.90 
134,$170.20 ,$231.90 ,$335.00 ,$361.80 ,$391.30 ,$408.70 ,$422.10 ,$428.80 ,$428.80 ,$442.20 
135,$171.50 ,$233.60 ,$337.50 ,$364.50 ,$394.20 ,$411.80 ,$425.30 ,$432.00 ,$432.00 ,$445.50 
136,$172.80 ,$235.30 ,$340.00 ,$367.20 ,$397.20 ,$414.80 ,$428.40 ,$435.20 ,$435.20 ,$448.80 
137,$174.00 ,$237.10 ,$342.50 ,$369.90 ,$400.10 ,$417.90 ,$431.60 ,$438.40 ,$438.40 ,$452.10 
138,$175.30 ,$238.80 ,$345.00 ,$372.60 ,$403.00 ,$420.90 ,$434.70 ,$441.60 ,$441.60 ,$455.40 
