Extended Area Surcharge Listing
"EFFECTIVE JANUARY 2, 2006"

"An Extended Area Surcharge applies to UPS Worldwide Express Plus, "
"UPS Worldwide Express, and UPS Worldwide Expedited shipments to all"
the destinations and from certain origins listed in the following chart.

Locate the destination or origin country.  Locate the Postal Code or City.
"If the Postal Code or City is not listed, ""All Other Points"" applies."

"If ""YES"" is indicated in the ""Extended Area Surcharge"" column next to the"
"destination, a surcharge applies to your export shipment."

"If ""YES"" is indicated in the ""Extended Area Surcharge"" column AND "
"an asterisk is shown next to the origin, a surcharge applies to your import shipment."

"If a surcharge applies, add $20 or $.20 per pound (whichever is greater) to the ",,,
charges for your shipment.,,,

"Note: In the Extended Area Surcharge postal code listings for France*, Guatemala, ",,,
"and Spain*, some programs may drop the leading zeros.  For example, 6260 ",,,
should actually read as 06260.,,,

Destination,,,Extended Area
Country,Postal Codes,Cities,Surcharge

Argentina,5722,,Yes
Argentina,5730-5731,,Yes
Argentina,5736,,Yes
Argentina,5738,,Yes
Argentina,5750,,Yes
Argentina,5759,,Yes
Argentina,5770,,Yes
Argentina,5773,,Yes
Argentina,5803,,Yes
Argentina,5805-5806,,Yes
Argentina,5809,,Yes
Argentina,5811,,Yes
Argentina,5813-5815,,Yes
Argentina,5817,,Yes
Argentina,5823,,Yes
Argentina,5825,,Yes
Argentina,5829,,Yes
Argentina,5837,,Yes
Argentina,5841,,Yes
Argentina,5843,,Yes
Argentina,5845,,Yes
Argentina,5847-5848,,Yes
Argentina,5850,,Yes
Argentina,5854,,Yes
Argentina,5856,,Yes
Argentina,5862,,Yes
Argentina,5864,,Yes
Argentina,5870-5871,,Yes
Argentina,5873,,Yes
Argentina,5875-5877,,Yes
Argentina,5881,,Yes
Argentina,5885,,Yes
Argentina,5887,,Yes
Argentina,5889,,Yes
Argentina,5891,,Yes
Argentina,5901,,Yes
Argentina,5903,,Yes
Argentina,5911,,Yes
Argentina,5913,,Yes
Argentina,5915,,Yes
Argentina,5917-5921,,Yes
Argentina,5923,,Yes
Argentina,5925,,Yes
Argentina,5927,,Yes
Argentina,5929,,Yes
Argentina,5932-5933,,Yes
Argentina,5935-5936,,Yes
Argentina,5940-5941,,Yes
Argentina,5943,,Yes
Argentina,5945,,Yes
Argentina,5947,,Yes
Argentina,5949,,Yes
Argentina,5960-5963,,Yes
Argentina,5967,,Yes
Argentina,5972,,Yes
Argentina,5974,,Yes
Argentina,5980,,Yes
Argentina,5984,,Yes
Argentina,5986-5988,,Yes
Argentina,6000,,Yes
Argentina,6002-6003,,Yes
Argentina,6005,,Yes
Argentina,6007,,Yes
Argentina,6009,,Yes
Argentina,6013,,Yes
Argentina,6015-6016,,Yes
Argentina,6030,,Yes
Argentina,6032,,Yes
Argentina,6034-6036,,Yes
Argentina,6050,,Yes
Argentina,6053,,Yes
Argentina,6062,,Yes
Argentina,6064-6065,,Yes
Argentina,6070,,Yes
Argentina,6073,,Yes
Argentina,6075-6077,,Yes
Argentina,6100,,Yes
Argentina,6103,,Yes
Argentina,6120,,Yes
Argentina,6125,,Yes
Argentina,6127,,Yes
Argentina,6132,,Yes
Argentina,6140,,Yes
Argentina,6200,,Yes
Argentina,6205,,Yes
Argentina,6207,,Yes
Argentina,6213-6214,,Yes
Argentina,6216,,Yes
Argentina,6220-6221,,Yes
Argentina,6223,,Yes
Argentina,6225,,Yes
Argentina,6230-6231,,Yes
Argentina,6237-6239,,Yes
Argentina,6241-6243,,Yes
Argentina,6270-6273,,Yes
Argentina,6275-6276,,Yes
Argentina,6301-6303,,Yes
Argentina,6305-6307,,Yes
Argentina,6309-6311,,Yes
Argentina,6313,,Yes
Argentina,6315,,Yes
Argentina,6319,,Yes
Argentina,6325-6326,,Yes
Argentina,6330-6331,,Yes
Argentina,6333,,Yes
Argentina,6335,,Yes
Argentina,6339,,Yes
Argentina,6343,,Yes
Argentina,6346,,Yes
Argentina,6352,,Yes
Argentina,6354,,Yes
Argentina,6360,,Yes
Argentina,6365-6366,,Yes
Argentina,6369,,Yes
Argentina,6380,,Yes
Argentina,6385-6387,,Yes
Argentina,6400-6401,,Yes
Argentina,6403,,Yes
Argentina,6405,,Yes
Argentina,6409,,Yes
Argentina,6411,,Yes
Argentina,6417,,Yes
Argentina,6424,,Yes
Argentina,6430,,Yes
Argentina,6435,,Yes
Argentina,6439,,Yes
Argentina,6441,,Yes
Argentina,6450,,Yes
Argentina,6455,,Yes
Argentina,6466,,Yes
Argentina,6471-6472,,Yes
Argentina,6474,,Yes
Argentina,6500-6501,,Yes
Argentina,6530,,Yes
Argentina,6533-6534,,Yes
Argentina,6550-6553,,Yes
Argentina,6555,,Yes
Argentina,6600-6608,,Yes
Argentina,6612,,Yes
Argentina,6620-6625,,Yes
Argentina,6628,,Yes
Argentina,6640-6642,,Yes
Argentina,6646,,Yes
Argentina,6660,,Yes
Argentina,6663,,Yes
Argentina,6701,,Yes
Argentina,6706-6707,,Yes
Argentina,6709-6719,,Yes
Argentina,6721-6725,,Yes
Argentina,6734,,Yes
Argentina,6740,,Yes
Argentina,7003,,Yes
Argentina,7005,,Yes
Argentina,7007-7008,,Yes
Argentina,7011,,Yes
Argentina,7020,,Yes
Argentina,7100-7101,,Yes
Argentina,7103,,Yes
Argentina,7105-7109,,Yes
Argentina,7111,,Yes
Argentina,7113-7114,,Yes
Argentina,7116-7118,,Yes
Argentina,7130,,Yes
Argentina,7150,,Yes
Argentina,7160,,Yes
Argentina,7163,,Yes
Argentina,7165-7174,,Yes
Argentina,7200,,Yes
Argentina,7203,,Yes
Argentina,7214,,Yes
Argentina,7220,,Yes
Argentina,7223,,Yes
Argentina,7240,,Yes
Argentina,7245-7246,,Yes
Argentina,7249,,Yes
Argentina,7260,,Yes
Argentina,7263,,Yes
Argentina,7300,,Yes
Argentina,7303,,Yes
Argentina,7311,,Yes
Argentina,7318,,Yes
Argentina,7400,,Yes
Argentina,7402-7404,,Yes
Argentina,7406,,Yes
Argentina,7414,,Yes
Argentina,7500-7501,,Yes
Argentina,7503,,Yes
Argentina,7507,,Yes
Argentina,7509-7511,,Yes
Argentina,7513,,Yes
Argentina,7521,,Yes
Argentina,7530,,Yes
Argentina,7540,,Yes
Argentina,7545,,Yes
Argentina,7602-7607,,Yes
Argentina,7609,,Yes
Argentina,7612,,Yes
Argentina,7620-7631,,Yes
Argentina,7635,,Yes
Argentina,7637,,Yes
Argentina,8003,,Yes
Argentina,8103,,Yes
Argentina,8105,,Yes
Argentina,8107-8109,,Yes
Argentina,8111,,Yes
Argentina,8117-8119,,Yes
Argentina,8122-8123,,Yes
Argentina,8126,,Yes
Argentina,8132,,Yes
Argentina,8134-8136,,Yes
Argentina,8138,,Yes
Argentina,8142-8144,,Yes
Argentina,8146,,Yes
Argentina,8148,,Yes
Argentina,8150,,Yes
Argentina,8153-8154,,Yes
Argentina,8156,,Yes
Argentina,8158,,Yes
Argentina,8160,,Yes
Argentina,8162,,Yes
Argentina,8164,,Yes
Argentina,8168,,Yes
Argentina,8170-8172,,Yes
Argentina,8174,,Yes
Argentina,8180,,Yes
Argentina,8183,,Yes
Argentina,8200-8201,,Yes
Argentina,8204,,Yes
Argentina,8206,,Yes
Argentina,8208,,Yes
Argentina,8303,,Yes
Argentina,8305-8307,,Yes
Argentina,8309,,Yes
Argentina,8315-8316,,Yes
Argentina,8318,,Yes
Argentina,8324,,Yes
Argentina,8326,,Yes
Argentina,8328,,Yes
Argentina,8332,,Yes
Argentina,8334,,Yes
Argentina,8336,,Yes
Argentina,8340,,Yes
Argentina,8345,,Yes
Argentina,8347,,Yes
Argentina,8349-8350,,Yes
Argentina,8353,,Yes
Argentina,8360-8361,,Yes
Argentina,8363-8364,,Yes
Argentina,8366,,Yes
Argentina,8370-8371,,Yes
Argentina,8405,,Yes
Argentina,8407,,Yes
Argentina,8418,,Yes
Argentina,8430,,Yes
Argentina,8504,,Yes
Argentina,8508,,Yes
Argentina,8512,,Yes
Argentina,9105,,Yes
Argentina,9107,,Yes
Argentina,9111,,Yes
Argentina,9120-9121,,Yes
Argentina,9200,,Yes
Argentina,9203,,Yes
Argentina,9207,,Yes
Argentina,9210-9211,,Yes
Argentina,9300,,Yes
Argentina,9303,,Yes
Argentina,9310-9311,,Yes
Argentina,9405,,Yes
Argentina,9407-9408,,Yes
Argentina, ,All Other Points, 
Armenia,000000-374999,,Yes
Armenia,375116-999999,,Yes
Armenia, ,All Other Points, 
Australia,0800-0909,,Yes
Australia,2081-2083,,Yes
Australia,2156-2157,,Yes
Australia,2159,,Yes
Australia,2171,,Yes
Australia,2173,,Yes
Australia,2235-2249,,Yes
Australia,2305-2499,,Yes
Australia,2521-2599,,Yes
Australia,2621-2749,,Yes
Australia,2759-2899,,Yes
Australia,3024,,Yes
Australia,3029,,Yes
Australia,3063,,Yes
Australia,3089-3091,,Yes
Australia,3096-3097,,Yes
Australia,3099,,Yes
Australia,3113,,Yes
Australia,3115,,Yes
Australia,3212,,Yes
Australia,3806-3975,,Yes
Australia,3977-3999,,Yes
Australia,4228,,Yes
Australia,4270-4275,,Yes
Australia,4287,,Yes
Australia,4307-4347,,Yes
Australia,4352-4498,,Yes
Australia,4514-4518,,Yes
Australia,4521,,Yes
Australia,4553-4554,,Yes
Australia,4560,,Yes
Australia,4563,,Yes
Australia,4565,,Yes
Australia,4570-4571,,Yes
Australia,4574,,Yes
Australia,4580-4809,,Yes
Australia,4813-4814,,Yes
Australia,4816-4819,,Yes
Australia,4821-4875,,Yes
Australia,4886-4891,,Yes
Australia,5113-5157,,Yes
Australia,5170-5950,,Yes
Australia,6041-6044,,Yes
Australia,6083-6084,,Yes
Australia,6171-6770,,Yes
Australia,7030,,Yes
Australia,7054-7162,,Yes
Australia,7171,,Yes
Australia,7175-7176,,Yes
Australia,7185-7216,,Yes
Australia,7252-7470,,Yes
Australia, ,All Other Points, 
Bahamas, ,ABACO,Yes
Bahamas, ,ANDROS ISLAND,Yes
Bahamas, ,ANDROS TOWN,Yes
Bahamas, ,EIGHT MOLIE ROCK,Yes
Bahamas, ,ELBOW CAY,Yes
Bahamas, ,ELEUTHERA ISLAND,Yes
Bahamas, ,EXUMA CAYS,Yes
Bahamas, ,GREEN TURTLE CAY,Yes
Bahamas, ,GUANA CAY,Yes
Bahamas, ,HOPE TOWN,Yes
Bahamas, ,LONG ISLAND,Yes
Bahamas, ,MAN-O-WAR CAY,Yes
Bahamas, ,MARSH HARBOUR,Yes
Bahamas, ,SOUTH OCEAN BEACH,Yes
Bahamas, ,TREASURE CAY,Yes
Bahamas, ,All Other Points, 
Bangladesh,0000-0999,,Yes
Bangladesh,1226-9999,,Yes
Bangladesh, ,All Other Points, 
Belarus,000000-220000,,Yes
Belarus,220142-999999,,Yes
Belarus, ,All Other Points, 
Brazil,23800-23999,,Yes
Brazil,24400-24999,,Yes
Brazil,25500-25599,,Yes
Brazil,25780-27199,,Yes
Brazil,27300-27899,,Yes
Brazil,27980-28599,,Yes
Brazil,28637-28999,,Yes
Brazil,29185-29999,,Yes
Brazil,36100-36999,,Yes
Brazil,37110-37499,,Yes
Brazil,37507-37699,,Yes
Brazil,37720-37999,,Yes
Brazil,38100-38399,,Yes
Brazil,38416-39999,,Yes
Brazil,42500-48999,,Yes
Brazil,49099-49999,,Yes
Brazil,53000-56999,,Yes
Brazil,57100-57999,,Yes
Brazil,58100-58999,,Yes
Brazil,59140-59999,,Yes
Brazil,61600-63999,,Yes
Brazil,64100-64999,,Yes
Brazil,65100-65999,,Yes
Brazil,67000-68899,,Yes
Brazil,68910-68999,,Yes
Brazil,69100-69299,,Yes
Brazil,69340-69399,,Yes
Brazil,69400-69899,,Yes
Brazil,69921-69999,,Yes
Brazil,70640-70699,,Yes
Brazil,71000-72799,,Yes
Brazil,72800-72999,,Yes
Brazil,73000-73699,,Yes
Brazil,73700-73999,,Yes
Brazil,74895-76799,,Yes
Brazil,77250-77999,,Yes
Brazil,78100-78899,,Yes
Brazil,78925-78999,,Yes
Brazil,79125-79999,,Yes
Brazil,83150-83199,,Yes
Brazil,83250-83319,,Yes
Brazil,83350-83599,,Yes
Brazil,83641-83699,,Yes
Brazil,83725-83999,,Yes
Brazil,84100-85999,,Yes
Brazil,86100-86999,,Yes
Brazil,87100-87999,,Yes
Brazil,88124-88299,,Yes
Brazil,88320-88349,,Yes
Brazil,88360-88799,,Yes
Brazil,88820-88999,,Yes
Brazil,89111-89199,,Yes
Brazil,89240-89249,,Yes
Brazil,89270-89289,,Yes
Brazil,89291-89999,,Yes
Brazil, ,All Other Points, 
Brunei, ,KUALA BELAIT,Yes
Brunei, ,TEMBURONG,Yes
