UPS Next Day Air Early AM®,,,,,,,,
Daily Rates,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,

A $1.75 surcharge will be added to each Letter and package going to a residential destination.,,,,,,,,

Weight Not To Exceed,Zone 102,Zone 103,Zone 104,Zone 105,Zone 106,Zone 107,Zone 108,Zone 124

Letter,$41.25 ,$43.25 ,$44.50 ,$45.00 ,$45.75 ,$46.50 ,$47.00 ,$47.25 
132,$189.50 ,$249.00 ,$339.75 ,$360.50 ,$389.25 ,$404.75 ,$417.00 ,$421.50 
133,$190.75 ,$250.75 ,$342.00 ,$363.25 ,$392.00 ,$407.75 ,$420.00 ,$424.75 
134,$191.75 ,$252.50 ,$344.50 ,$365.75 ,$394.75 ,$410.75 ,$423.00 ,$428.00 
135,$192.75 ,$254.25 ,$346.75 ,$368.50 ,$397.50 ,$413.75 ,$426.00 ,$431.25 
136,$193.75 ,$256.00 ,$349.00 ,$371.00 ,$400.25 ,$416.75 ,$429.00 ,$434.00 
137,$194.75 ,$257.75 ,$351.50 ,$373.25 ,$403.00 ,$419.75 ,$432.00 ,$436.75 
138,$195.50 ,$259.25 ,$354.00 ,$375.75 ,$405.75 ,$422.75 ,$435.00 ,$440.00 
139,$196.25 ,$260.50 ,$356.25 ,$378.25 ,$408.50 ,$425.75 ,$438.00 ,$443.00 
140,$197.00 ,$261.50 ,$358.50 ,$380.50 ,$411.25 ,$428.75 ,$441.00 ,$446.00 
141,$197.75 ,$262.75 ,$361.00 ,$383.00 ,$414.00 ,$431.75 ,$444.00 ,$449.00 
142,$198.50 ,$263.75 ,$363.50 ,$385.25 ,$417.25 ,$434.75 ,$447.00 ,$452.00 
143,$199.25 ,$265.00 ,$365.50 ,$387.50 ,$420.25 ,$437.75 ,$450.00 ,$455.25 
144,$200.00 ,$266.25 ,$367.25 ,$389.75 ,$423.00 ,$440.50 ,$453.00 ,$458.00 
145,$200.75 ,$267.50 ,$369.00 ,$392.25 ,$425.75 ,$443.00 ,$456.00 ,$461.00 
146,$201.50 ,$268.50 ,$371.00 ,$394.75 ,$428.50 ,$445.50 ,$459.25 ,$464.00 
147,$202.25 ,$269.50 ,$373.00 ,$397.25 ,$431.25 ,$448.25 ,$462.25 ,$467.00 
148,$203.00 ,$270.75 ,$375.00 ,$399.75 ,$434.00 ,$451.25 ,$465.00 ,$470.00 
149,$203.75 ,$272.00 ,$377.00 ,$402.25 ,$437.00 ,$454.00 ,$467.75 ,$472.75 
150,$204.50 ,$273.25 ,$379.25 ,$404.75 ,$440.25 ,$457.00 ,$470.50 ,$475.50 
Multiplier,$1.19 ,$1.65 ,$2.35 ,$2.52 ,$2.76 ,$2.87 ,$2.96 ,$2.99 
