Hawaii -- 48 State Ground Residential,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 11
99,$69.91 ,$72.61 ,$74.55 ,$77.42 ,$78.93 ,$80.99 ,$83.37 ,$124.04 ,$133.12 ,$123.86 
100,$70.45 ,$73.09 ,$75.15 ,$77.95 ,$79.42 ,$81.47 ,$83.90 ,$125.00 ,$134.05 ,$124.83 
101,$70.99 ,$73.58 ,$75.69 ,$78.45 ,$79.91 ,$81.91 ,$84.45 ,$126.23 ,$135.23 ,$126.05 
102,$71.53 ,$74.07 ,$76.23 ,$78.93 ,$80.39 ,$82.40 ,$84.93 ,$127.36 ,$136.34 ,$127.19 
103,$72.07 ,$74.55 ,$76.77 ,$79.36 ,$80.89 ,$82.82 ,$85.48 ,$128.50 ,$137.52 ,$128.32 
104,$72.61 ,$75.04 ,$77.31 ,$79.86 ,$81.37 ,$83.32 ,$86.01 ,$129.72 ,$138.54 ,$129.46 
105,$73.15 ,$75.53 ,$77.85 ,$80.29 ,$81.85 ,$83.75 ,$86.51 ,$130.86 ,$139.64 ,$130.60 
106,$73.69 ,$76.02 ,$78.39 ,$80.77 ,$82.35 ,$84.23 ,$87.04 ,$132.09 ,$140.74 ,$131.74 
107,$74.23 ,$76.50 ,$78.93 ,$81.27 ,$82.82 ,$84.73 ,$87.53 ,$133.22 ,$141.84 ,$132.87 
108,$74.78 ,$76.99 ,$79.48 ,$81.80 ,$83.32 ,$85.16 ,$88.07 ,$134.36 ,$142.95 ,$134.01 
109,$75.32 ,$77.48 ,$80.01 ,$82.29 ,$83.80 ,$85.64 ,$88.62 ,$135.76 ,$144.30 ,$135.41 
110,$75.86 ,$77.95 ,$80.56 ,$82.82 ,$84.28 ,$86.06 ,$89.10 ,$137.07 ,$145.66 ,$136.81 
111,$76.40 ,$78.45 ,$81.09 ,$83.37 ,$84.78 ,$86.56 ,$89.64 ,$138.30 ,$147.01 ,$138.12 
112,$76.94 ,$78.93 ,$81.64 ,$83.85 ,$85.31 ,$86.99 ,$90.13 ,$139.43 ,$148.28 ,$139.26 
113,$77.48 ,$79.42 ,$82.17 ,$84.33 ,$85.86 ,$87.47 ,$90.67 ,$140.57 ,$149.47 ,$140.39 
114,$78.02 ,$79.91 ,$82.72 ,$84.83 ,$86.39 ,$87.97 ,$91.21 ,$141.79 ,$150.66 ,$141.62 
115,$78.56 ,$80.39 ,$83.25 ,$85.31 ,$86.94 ,$88.45 ,$91.75 ,$142.93 ,$151.76 ,$142.76 
116,$79.10 ,$80.94 ,$83.80 ,$85.81 ,$87.47 ,$88.94 ,$92.24 ,$144.33 ,$153.12 ,$144.16 
117,$79.64 ,$81.47 ,$84.33 ,$86.24 ,$88.02 ,$89.48 ,$92.78 ,$145.47 ,$154.39 ,$145.47 
118,$80.19 ,$82.02 ,$84.88 ,$86.72 ,$88.56 ,$89.97 ,$93.27 ,$146.60 ,$155.49 ,$146.60 
119,$80.72 ,$82.55 ,$85.43 ,$87.22 ,$89.05 ,$90.51 ,$93.81 ,$147.83 ,$156.59 ,$147.74 
120,$81.27 ,$83.10 ,$85.96 ,$87.69 ,$89.53 ,$91.05 ,$94.35 ,$148.97 ,$157.69 ,$148.79 
121,$81.80 ,$83.63 ,$86.51 ,$88.17 ,$90.02 ,$91.59 ,$94.89 ,$150.19 ,$158.88 ,$149.93 
122,$82.35 ,$84.18 ,$87.04 ,$88.72 ,$90.51 ,$92.08 ,$95.38 ,$151.50 ,$160.15 ,$151.33 
123,$82.88 ,$84.73 ,$87.59 ,$89.20 ,$90.93 ,$92.56 ,$95.92 ,$152.64 ,$161.42 ,$152.46 
124,$83.43 ,$85.26 ,$88.12 ,$89.75 ,$91.42 ,$93.10 ,$96.46 ,$154.04 ,$162.78 ,$153.86 
125,$83.96 ,$85.81 ,$88.67 ,$90.29 ,$91.91 ,$93.59 ,$96.95 ,$155.18 ,$163.96 ,$155.00 
126,$84.51 ,$86.34 ,$89.20 ,$90.83 ,$92.45 ,$94.13 ,$97.49 ,$156.40 ,$165.06 ,$156.05 
