UPS 2nd Day Air A.M.®,,,,,,,
Daily Rates,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,
Rates do not include a fuel surcharge.,,,,,,,

Weight Not To Exceed, Zone 242 , Zone 243 , Zone 244 , Zone 245 , Zone 246 , Zone 247 , Zone 248

Letter,$8.10 ,$8.20 ,$8.70 ,$9.50 ,$10.00 ,$10.50 ,$11.20 
103,$74.30 ,$88.30 ,$111.40 ,$153.30 ,$213.30 ,$231.90 ,$238.50 
104,$74.90 ,$89.10 ,$112.30 ,$154.70 ,$215.20 ,$233.80 ,$240.60 
105,$75.60 ,$89.80 ,$113.20 ,$156.10 ,$217.20 ,$235.70 ,$242.70 
106,$76.30 ,$90.50 ,$114.30 ,$157.50 ,$219.30 ,$237.70 ,$244.80 
107,$77.00 ,$91.30 ,$115.40 ,$159.00 ,$221.50 ,$239.90 ,$246.80 
108,$77.70 ,$92.10 ,$116.30 ,$160.40 ,$223.70 ,$242.10 ,$249.00 
109,$78.40 ,$92.90 ,$117.40 ,$161.90 ,$225.90 ,$244.30 ,$251.30 
110,$79.00 ,$93.80 ,$118.50 ,$163.30 ,$228.00 ,$246.50 ,$253.80 
111,$79.70 ,$94.70 ,$119.60 ,$164.90 ,$230.10 ,$248.70 ,$256.10 
112,$80.40 ,$95.60 ,$120.70 ,$166.30 ,$232.30 ,$251.00 ,$258.50 
113,$81.10 ,$96.50 ,$121.70 ,$167.70 ,$234.50 ,$253.20 ,$260.80 
114,$81.80 ,$97.30 ,$122.80 ,$169.10 ,$236.70 ,$255.40 ,$263.30 
115,$82.50 ,$98.30 ,$123.80 ,$170.60 ,$238.90 ,$257.60 ,$265.70 
116,$83.20 ,$99.30 ,$124.80 ,$172.00 ,$240.90 ,$259.90 ,$268.10 
117,$84.00 ,$100.30 ,$125.90 ,$173.40 ,$242.80 ,$262.30 ,$270.50 
118,$84.80 ,$101.30 ,$126.90 ,$174.80 ,$244.70 ,$264.60 ,$272.90 
119,$85.50 ,$102.20 ,$128.00 ,$176.30 ,$246.60 ,$266.90 ,$275.10 
120,$86.20 ,$103.20 ,$129.00 ,$177.70 ,$248.50 ,$269.30 ,$277.30 
121,$86.90 ,$104.20 ,$130.10 ,$179.20 ,$250.40 ,$271.60 ,$279.50 
122,$87.60 ,$105.20 ,$131.10 ,$180.60 ,$252.40 ,$273.80 ,$281.70 
123,$88.30 ,$106.10 ,$132.20 ,$182.10 ,$254.50 ,$276.10 ,$283.90 
124,$89.00 ,$106.90 ,$133.30 ,$183.50 ,$256.60 ,$278.40 ,$286.10 
125,$89.80 ,$107.70 ,$134.40 ,$184.90 ,$258.80 ,$280.70 ,$288.30 
126,$90.60 ,$108.50 ,$135.50 ,$186.30 ,$261.00 ,$283.20 ,$290.50 
127,$91.40 ,$109.30 ,$136.60 ,$187.90 ,$263.20 ,$285.70 ,$292.70 
128,$92.00 ,$110.10 ,$137.70 ,$189.30 ,$265.40 ,$288.20 ,$294.90 
129,$92.70 ,$110.90 ,$138.80 ,$190.70 ,$267.60 ,$290.70 ,$297.10 
130,$93.50 ,$111.80 ,$139.90 ,$192.10 ,$269.70 ,$293.10 ,$299.50 
131,$94.20 ,$112.70 ,$140.90 ,$193.60 ,$271.60 ,$295.50 ,$302.00 
132,$94.90 ,$113.60 ,$142.00 ,$195.00 ,$273.50 ,$297.80 ,$304.50 
133,$95.50 ,$114.50 ,$143.10 ,$196.40 ,$275.40 ,$299.90 ,$306.70 
134,$96.20 ,$115.40 ,$144.20 ,$197.80 ,$277.20 ,$302.00 ,$309.20 
135,$96.90 ,$116.30 ,$145.30 ,$199.30 ,$279.00 ,$304.10 ,$311.40 
136,$97.50 ,$117.10 ,$146.30 ,$200.70 ,$280.90 ,$306.10 ,$313.90 
137,$98.20 ,$118.20 ,$147.30 ,$202.10 ,$282.80 ,$308.10 ,$316.40 
138,$98.80 ,$119.10 ,$148.30 ,$203.50 ,$284.70 ,$310.10 ,$318.90 
139,$99.50 ,$119.80 ,$149.30 ,$205.00 ,$286.60 ,$312.20 ,$321.40 
140,$100.30 ,$120.70 ,$150.30 ,$206.40 ,$288.50 ,$314.30 ,$323.80 
141,$101.10 ,$121.50 ,$151.30 ,$207.80 ,$290.50 ,$316.50 ,$326.20 
142,$101.90 ,$122.30 ,$152.30 ,$209.20 ,$292.50 ,$318.70 ,$328.50 
143,$102.60 ,$123.30 ,$153.30 ,$210.70 ,$294.50 ,$320.90 ,$330.80 
144,$103.40 ,$124.30 ,$154.30 ,$212.10 ,$296.50 ,$323.10 ,$333.30 
145,$104.20 ,$125.30 ,$155.30 ,$213.50 ,$298.50 ,$325.30 ,$335.80 
146,$105.00 ,$126.10 ,$156.30 ,$214.80 ,$300.60 ,$327.50 ,$338.40 
147,$105.70 ,$126.90 ,$157.30 ,$216.20 ,$302.70 ,$329.80 ,$341.00 
148,$106.50 ,$127.70 ,$158.30 ,$217.50 ,$304.80 ,$332.10 ,$343.60 
149,$107.30 ,$128.50 ,$159.30 ,$218.80 ,$306.90 ,$334.50 ,$346.10 
150,$108.10 ,$129.30 ,$160.30 ,$220.10 ,$309.00 ,$336.90 ,$348.60 
Multiplier,$0.74 ,$0.88 ,$1.08 ,$1.48 ,$2.07 ,$2.26 ,$2.34 
