UPS 2nd Day Air®,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,,,,,,,,

Weight Not To Exceed, Zone 202 , Zone 203 , Zone 204 , Zone 205 , Zone 206 , Zone 207 , Zone 208 , Zone 224 , Zone 225 , Zone 226

Letter,$7.50 ,$8.00 ,$8.40 ,$9.10 ,$9.80 ,$10.20 ,$10.60 ,$14.60 ,$14.60 ,$20.20 
80,$53.30 ,$63.10 ,$79.70 ,$110.40 ,$158.60 ,$170.50 ,$177.20 ,$179.20 ,$179.20 ,$185.90 
81,$53.90 ,$63.90 ,$80.60 ,$111.80 ,$160.50 ,$172.50 ,$179.30 ,$181.30 ,$181.30 ,$187.80 
82,$54.40 ,$64.70 ,$81.50 ,$113.20 ,$162.40 ,$174.60 ,$181.50 ,$183.40 ,$183.40 ,$189.70 
83,$54.90 ,$65.40 ,$82.40 ,$114.60 ,$164.30 ,$176.60 ,$183.60 ,$185.50 ,$185.50 ,$191.60 
84,$55.60 ,$66.10 ,$83.30 ,$115.90 ,$166.30 ,$178.70 ,$185.80 ,$187.60 ,$187.60 ,$193.50 
85,$56.20 ,$66.90 ,$84.20 ,$117.30 ,$168.30 ,$180.80 ,$187.90 ,$189.70 ,$189.70 ,$195.40 
86,$56.80 ,$67.60 ,$85.00 ,$118.70 ,$170.30 ,$182.90 ,$190.10 ,$191.80 ,$191.80 ,$197.30 
87,$57.40 ,$68.30 ,$86.00 ,$120.10 ,$172.30 ,$185.00 ,$192.30 ,$194.00 ,$194.00 ,$199.30 
88,$58.10 ,$69.00 ,$86.90 ,$121.50 ,$174.20 ,$187.10 ,$194.50 ,$196.30 ,$196.30 ,$201.30 
89,$58.80 ,$69.60 ,$87.90 ,$122.80 ,$176.20 ,$189.20 ,$196.70 ,$198.50 ,$198.50 ,$203.40 
90,$59.40 ,$70.40 ,$88.70 ,$124.20 ,$178.10 ,$191.30 ,$199.00 ,$200.70 ,$200.70 ,$205.60 
91,$60.10 ,$71.20 ,$89.70 ,$125.60 ,$180.00 ,$193.40 ,$201.30 ,$203.00 ,$203.00 ,$207.80 
92,$60.70 ,$72.00 ,$90.70 ,$127.00 ,$181.90 ,$195.50 ,$203.60 ,$205.20 ,$205.20 ,$210.00 
93,$61.50 ,$72.80 ,$91.70 ,$128.40 ,$183.90 ,$197.60 ,$205.80 ,$207.40 ,$207.40 ,$212.20 
94,$62.10 ,$73.50 ,$92.70 ,$129.70 ,$186.00 ,$199.60 ,$207.90 ,$209.70 ,$209.70 ,$214.40 
95,$62.70 ,$74.10 ,$93.50 ,$131.10 ,$188.10 ,$201.60 ,$210.00 ,$211.90 ,$211.90 ,$216.60 
