UPS Ground Residential,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed, Zone 2 , Zone 3 , Zone 4 , Zone 5 , Zone 6 , Zone 7 , Zone 8,Zone 44,Zone 45,Zone 46
84,$38.98 ,$40.90 ,$41.36 ,$42.07 ,$44.97 ,$46.45 ,$49.35 ,$147.23 ,$147.23 ,$156.14 
85,$39.46 ,$41.39 ,$41.86 ,$42.55 ,$45.45 ,$46.93 ,$49.82 ,$148.89 ,$148.89 ,$157.63 
86,$39.94 ,$41.88 ,$42.36 ,$43.02 ,$45.93 ,$47.41 ,$50.29 ,$150.47 ,$150.47 ,$159.11 
87,$40.42 ,$42.37 ,$42.85 ,$43.49 ,$46.41 ,$47.89 ,$50.76 ,$152.13 ,$152.13 ,$160.60 
88,$40.91 ,$42.85 ,$43.34 ,$43.95 ,$46.89 ,$48.36 ,$51.24 ,$153.79 ,$153.79 ,$162.09 
89,$41.39 ,$43.34 ,$43.81 ,$44.43 ,$47.37 ,$48.84 ,$51.72 ,$155.37 ,$155.37 ,$163.57 
90,$41.88 ,$43.81 ,$44.30 ,$44.90 ,$47.84 ,$49.33 ,$52.19 ,$156.94 ,$156.94 ,$165.06 
91,$42.37 ,$44.30 ,$44.77 ,$45.38 ,$48.31 ,$49.81 ,$52.67 ,$158.60 ,$158.60 ,$166.55 
92,$42.85 ,$44.78 ,$45.24 ,$45.86 ,$48.78 ,$50.29 ,$53.15 ,$160.09 ,$160.09 ,$168.03 
93,$43.34 ,$45.27 ,$45.70 ,$46.34 ,$49.25 ,$50.77 ,$53.63 ,$161.66 ,$161.66 ,$169.52 
94,$43.80 ,$45.75 ,$46.16 ,$46.82 ,$49.72 ,$51.24 ,$54.11 ,$163.15 ,$163.15 ,$171.01 
95,$44.28 ,$46.22 ,$46.59 ,$47.29 ,$50.19 ,$51.71 ,$54.59 ,$164.72 ,$164.72 ,$172.58 
96,$44.75 ,$46.64 ,$47.03 ,$47.77 ,$50.67 ,$52.17 ,$55.07 ,$166.21 ,$166.21 ,$174.07 
97,$45.23 ,$47.07 ,$47.48 ,$48.25 ,$51.13 ,$52.64 ,$55.56 ,$167.79 ,$167.79 ,$175.64 
98,$45.70 ,$47.49 ,$47.92 ,$48.72 ,$51.60 ,$53.11 ,$56.03 ,$169.27 ,$169.27 ,$177.22 
99,$46.18 ,$47.91 ,$48.37 ,$49.19 ,$52.07 ,$53.58 ,$56.51 ,$170.84 ,$170.84 ,$178.79 
100,$46.64 ,$48.34 ,$48.80 ,$49.65 ,$52.54 ,$54.05 ,$56.99 ,$172.42 ,$172.42 ,$180.37 
101,$47.07 ,$48.75 ,$49.23 ,$50.07 ,$53.01 ,$54.52 ,$57.46 ,$173.99 ,$173.99 ,$182.03 
102,$47.49 ,$49.17 ,$49.67 ,$50.48 ,$53.48 ,$54.98 ,$57.93 ,$175.57 ,$175.57 ,$183.69 
103,$47.91 ,$49.60 ,$50.10 ,$50.90 ,$53.94 ,$55.45 ,$58.40 ,$177.14 ,$177.14 ,$185.35 
104,$48.34 ,$50.02 ,$50.54 ,$51.32 ,$54.38 ,$55.92 ,$58.87 ,$178.81 ,$178.81 ,$187.01 
105,$48.75 ,$50.43 ,$50.96 ,$51.74 ,$54.82 ,$56.39 ,$59.33 ,$180.38 ,$180.38 ,$188.50 
106,$49.17 ,$50.86 ,$51.39 ,$52.14 ,$55.26 ,$56.86 ,$59.80 ,$182.04 ,$182.04 ,$189.99 
107,$49.60 ,$51.28 ,$51.83 ,$52.55 ,$55.70 ,$57.34 ,$60.27 ,$183.71 ,$183.71 ,$191.56 
108,$50.01 ,$51.70 ,$52.26 ,$52.96 ,$56.14 ,$57.81 ,$60.74 ,$185.36 ,$185.36 ,$193.14 
109,$50.41 ,$52.12 ,$52.69 ,$53.37 ,$56.57 ,$58.27 ,$61.21 ,$186.94 ,$186.94 ,$194.89 
110,$50.83 ,$52.54 ,$53.12 ,$53.77 ,$57.01 ,$58.74 ,$61.68 ,$188.51 ,$188.51 ,$196.46 
111,$51.24 ,$52.96 ,$53.55 ,$54.17 ,$57.45 ,$59.20 ,$62.14 ,$190.18 ,$190.18 ,$198.03 
112,$51.65 ,$53.39 ,$53.99 ,$54.58 ,$57.89 ,$59.66 ,$62.59 ,$191.83 ,$191.83 ,$199.61 
113,$52.06 ,$53.80 ,$54.42 ,$54.98 ,$58.33 ,$60.12 ,$63.05 ,$193.50 ,$193.50 ,$201.27 
114,$52.47 ,$54.22 ,$54.84 ,$55.39 ,$58.76 ,$60.58 ,$63.51 ,$195.16 ,$195.16 ,$202.93 
115,$52.88 ,$54.65 ,$55.28 ,$55.80 ,$59.20 ,$61.04 ,$63.97 ,$196.82 ,$196.82 ,$204.59 
116,$53.28 ,$55.07 ,$55.71 ,$56.21 ,$59.64 ,$61.49 ,$64.43 ,$198.40 ,$198.40 ,$206.26 
117,$53.70 ,$55.48 ,$56.15 ,$56.61 ,$60.08 ,$61.95 ,$64.90 ,$199.97 ,$199.97 ,$207.92 
118,$54.11 ,$55.91 ,$56.57 ,$57.02 ,$60.52 ,$62.41 ,$65.35 ,$201.55 ,$201.55 ,$209.67 
119,$54.52 ,$56.33 ,$57.00 ,$57.43 ,$60.95 ,$62.88 ,$65.81 ,$203.47 ,$203.47 ,$211.42 
120,$54.93 ,$56.76 ,$57.44 ,$57.84 ,$61.39 ,$63.35 ,$66.27 ,$205.13 ,$205.13 ,$213.17 
121,$55.34 ,$57.17 ,$57.87 ,$58.24 ,$61.83 ,$63.82 ,$66.74 ,$206.88 ,$206.88 ,$214.83 
122,$55.75 ,$57.59 ,$58.30 ,$58.64 ,$62.27 ,$64.28 ,$67.21 ,$208.63 ,$208.63 ,$216.49 
123,$56.17 ,$58.02 ,$58.73 ,$59.05 ,$62.71 ,$64.75 ,$67.68 ,$210.38 ,$210.38 ,$218.24 
124,$56.57 ,$58.44 ,$59.16 ,$59.46 ,$63.14 ,$65.22 ,$68.14 ,$212.13 ,$212.13 ,$219.99 
